model,sample,method,psnr,input_psnr,delta_vs_input_db,restored_fraction
a3m,low_haze_00059,fixed_beta_0.88,22.53364478642782,16.260416600341657,6.273228186086165,0.88
a3m,low_haze_00059,oracle_image,22.779787157001365,16.260416600341657,6.519370556659709,1.0
a3m,low_haze_00059,oracle_block_32,23.403389436657136,16.260416600341657,7.142972836315479,0.8839506172839506
a3m,low_haze_00059,oracle_block_8,23.613812775725172,16.260416600341657,7.353396175383516,0.8762139917695473
a3m,low_haze_rain_00059,input,16.173196315291534,16.173196315291534,0.0,0.0
a3m,low_haze_rain_00059,restored,19.49355638659633,16.173196315291534,3.3203600713047976,1.0
a3m,low_haze_rain_00059,fixed_beta_0.88,19.279897291524218,16.173196315291534,3.106700976232684,0.88
a3m,low_haze_rain_00059,oracle_image,19.49355638659633,16.173196315291534,3.3203600713047976,1.0
a3m,low_haze_rain_00059,oracle_block_32,19.85632675833884,16.173196315291534,3.6831304430473075,0.9079835390946502
a3m,low_haze_rain_00059,oracle_block_8,19.949609836366417,16.173196315291534,3.7764135210748826,0.8744032921810699
a3m,low_haze_snow_00059,input,13.325847338262367,13.325847338262367,0.0,0.0
a3m,low_haze_snow_00059,restored,16.031312790063307,13.325847338262367,2.70546545180094,1.0
a3m,low_haze_snow_00059,fixed_beta_0.88,16.118263578971206,13.325847338262367,2.792416240708839,0.88
a3m,low_haze_snow_00059,oracle_image,16.031312790063307,13.325847338262367,2.70546545180094,1.0
a3m,low_haze_snow_00059,oracle_block_32,18.492930069951623,13.325847338262367,5.167082731689256,0.7435390946502057
a3m,low_haze_snow_00059,oracle_block_8,18.707130073136167,13.325847338262367,5.3812827348738,0.7190123456790124
a3m,low_rain_00059,input,16.10800411480679,16.10800411480679,0.0,0.0
a3m,low_rain_00059,restored,24.103073169797362,16.10800411480679,7.995069054990573,1.0
a3m,low_rain_00059,fixed_beta_0.88,24.25423784904815,16.10800411480679,8.14623373424136,0.88
a3m,low_rain_00059,oracle_image,24.103073169797362,16.10800411480679,7.995069054990573,1.0
a3m,low_rain_00059,oracle_block_32,24.410961236384267,16.10800411480679,8.302957121577478,0.939917695473251
a3m,low_rain_00059,oracle_block_8,24.86649389711401,16.10800411480679,8.758489782307223,0.9130041152263374
a3m,low_snow_00059,input,15.322570251646553,15.322570251646553,0.0,0.0
a3m,low_snow_00059,restored,20.33770733772942,15.322570251646553,5.015137086082866,1.0
a3m,low_snow_00059,fixed_beta_0.88,20.615956972514347,15.322570251646553,5.293386720867794,0.88
a3m,low_snow_00059,oracle_image,20.33770733772942,15.322570251646553,5.015137086082866,1.0
a3m,low_snow_00059,oracle_block_32,21.198598767961997,15.322570251646553,5.8760285163154435,0.8553086419753086
a3m,low_snow_00059,oracle_block_8,21.943235435392307,15.322570251646553,6.6206651837457535,0.823045267489712
a3m,rain_00059,input,31.43951744874268,31.43951744874268,0.0,0.0
a3m,rain_00059,restored,31.041514349427107,31.43951744874268,-0.39800309931557365,1.0
a3m,rain_00059,fixed_beta_0.88,32.164919950700124,31.43951744874268,0.7254025019574435,0.88
a3m,rain_00059,oracle_image,31.43951744874268,31.43951744874268,0.0,0.0
a3m,rain_00059,oracle_block_32,33.29931561827182,31.43951744874268,1.8597981695291388,0.5718518518518518
a3m,rain_00059,oracle_block_8,34.117975613603946,31.43951744874268,2.678458164861265,0.582716049382716
a3m,snow_00059,input,33.12709635187046,33.12709635187046,0.0,0.0
a3m,snow_00059,restored,28.898409978220414,33.12709635187046,-4.228686373650049,1.0
a3m,snow_00059,fixed_beta_0.88,29.92625037280061,33.12709635187046,-3.200845979069854,0.88
a3m,snow_00059,oracle_image,33.12709635187046,33.12709635187046,0.0,0.0
a3m,snow_00059,oracle_block_32,35.81592599649226,33.12709635187046,2.688829644621798,0.08625514403292181
a3m,snow_00059,oracle_block_8,39.18423553447877,33.12709635187046,6.05713918260831,0.03390946502057613
